============================================================
OVERALL (test set — last 2 weeks)
============================================================
  RMSE:                  9.33 trips/hr
  MAE:                   3.57 trips/hr
  MAPE:                 49.4%
  Avg trip volume:      21.20 trips/hr  (full dataset)

============================================================
  Zone     RMSE      MAE     MAPE   Avg Vol
------------------------------------------------------------
   132    50.79    36.50    81.7%    233.08
   186    40.84    28.22    41.6%    174.13
   138    35.13    24.49    72.6%    144.93
   230    33.72    21.21    20.8%    170.84
   161    32.41    20.67    27.4%    235.55
   142    32.16    20.64    26.1%    157.70
    79    30.49    19.36    19.5%    139.28
   236    30.19    21.21    31.5%    213.77
   237    29.13    20.43    28.3%    240.86
   162    26.28    17.75    28.1%    170.33
   239    22.15    15.42    22.2%    138.75
   163    20.79    13.94    24.5%    139.47
   249    20.76    14.09    22.3%    120.43
    68    20.73    15.76    24.9%    141.34
   238    19.73    14.01    31.8%     99.26
   164    19.72    13.51    26.2%    116.53
   170    19.70    13.97    26.2%    146.12
    48    19.59    14.79    18.0%    130.08
   234    19.41    14.48    27.5%    146.26
   107    19.25    13.87    22.8%    104.73
   140    18.61    13.28    28.6%    105.03
   141    18.59    13.97    20.1%    117.64
   246    17.94    13.08    40.9%     99.72
   263    17.72    13.48    22.8%     98.10
    43    16.99    11.57    39.4%     71.84
   114    16.84    11.00    33.4%     80.27
   229    16.62    11.94    27.8%     86.31
   262    16.23    11.25    31.9%     73.34
   137    15.62    11.80    25.3%     61.43
    90    14.82    11.42    25.3%     83.38
   231    14.38    10.38    29.2%     76.62
   148    14.25     9.92    34.8%     68.44
   113    13.92    10.26    34.2%     76.97
   100    13.91    10.55    35.2%     76.19
   158    13.36     9.40    44.0%     55.68
   143    13.19     9.07    27.5%     61.66
   144    12.41     9.22    42.1%     61.72
   233    12.24     8.74    29.2%     59.30
   211    10.12     7.00    39.3%     46.86
    50     9.98     7.55    30.5%     37.74
    87     9.90     7.20    35.4%     38.84
    75     9.86     7.32    31.5%     41.13
   151     9.63     6.74    30.2%     43.02
   166     9.50     6.78    34.2%     31.95
    13     9.22     6.36    41.7%     34.87
     4     8.13     5.47    30.7%     18.37
   125     7.71     5.97    52.8%     27.72
   226     7.35     4.73    59.5%     10.30
    41     7.31     5.38    32.2%     24.53
    74     7.24     5.18    33.9%     21.83
    88     6.60     4.66    56.1%     19.58
   145     6.59     4.50    53.1%     11.80
   261     6.35     4.78    54.8%     28.14
    42     6.33     4.63    35.6%     16.93
     7     6.06     4.55    44.4%     11.34
   255     5.89     4.02    60.0%     11.62
    70     5.62     4.12    71.8%     15.06
    24     5.61     4.17    39.1%     15.41
   232     5.55     4.28    39.6%     15.21
   224     5.33     3.98    46.8%     12.19
   116     5.20     3.77    44.9%     10.74
   244     4.94     3.78    37.4%     11.91
   256     4.94     3.66    60.9%      8.84
